PRECIO
21 Junio 2023 Cargador Ibek Travel Fast Charger 5.1A IB-5016 5.1A IB-5016$1.060
Cargador IBEK USB A TIPO C turbo power 3.0 5013 C turbo power 3.0 5013$1.110
Cargador IBEK 5.1A IB5016/IB5015 IB5016/IB5015$1.060
CARGADORES Cargador DINAX PREMIERE 5.1A USB y TIPO C cabezal USB y TIPO C cabezal$1.560
Cargador Dinax a Tipo C 4.2 Tipo C 4.2$1.020
CARGADORES Cargador Ibek 2USB A TIPO C 4.2 IB405/IB404 TIPO C 4.2 IB405/IB404$860
CARGADORES Cargador Ibek Con Cable Desmontable Tipo C 5.1A Carga Rápida Carga Rápida$1.160
Cargador IBEK USB a Tipo C 4.2 (2 USB) a Tipo C 4.2 (2 USB)$1.020
Cargador IBEK 2 USB a V8 4.8A 4801/4802/4803 V8 4.8A 4801/4802/4803$979
Cabezal Motorola Súper Charger 18W Qualcomm 3.0 Qualcomm 3.0$1.250
Cargador MOTOROLA Tipo C a V8 TURBOPOWER a V8 TURBOPOWER$1.840
CARGADORES Cargador Motorola Turbo Power 30+ USB a Micro(V8) Power 30+ USB a Micro(V8)$1.450
Cargador Seis 4.2A Carga Rápida Tipo c Carga Rápida Tipo c$790
Cabezal Cargador IBEK Carga Rápida 5.8A Carga Rápida 5.8A$1.040
CARGADORES Cargador SAMSUNG Travel ADAPTER 15W cabezal cabezal$630
Cargador Samsung 2xUSB A V8 3.1A 1819/1820/1824/1825 1819/1820/1824/1825$790
Cargador Samsung USB a Tipo C C9 USB a Tipo C C9$1.520
Cargador Samsung Tipo C a Tipo C 45W Tipo C a Tipo C 45W$4.090
CARGADORES Cargador SAMSUNG x2 USB a Tipo C 2304 USB a Tipo C 2304$840
Cargador HYTOSHY 2.0A USB A V8 2.0A USB A V8$550
Cargador LEGATUS USB Tipo C A TIPO C 20W 5000D Tipo C A TIPO C 20W 5000D$1.440
Cargador ROYAL 20W Tipo C A Iphone 2800B Tipo C A Iphone 2800B$1.420
Cargador RoyalCell 2.4A Carga Rápida Tipo C Carga Rápida Tipo C$730
CARGADORES Cargador RoyalCell 2.4A Carga Rápida Micro(V8) Carga Rápida Micro(V8)$690
Cargador Samsung Auto Tipo C a Tipo C Auto Tipo C a Tipo C$1.740
Cargador Auto SAMSUNG TIPO C 18W SAMSUNG TIPO C 18W$2.830
Cargador Motorola Turbo Power 30+ USB a Micro V8 Power 30+ USB a Micro V8$1.660
CARGADORES Cargador Para el Auto Ibek 3.1A Carga Rápida Tipo C Tipo C$700
Cargador Auto Car Adapter a V8 5W SAMSUNG a V8 5W SAMSUNG$730
CARGADORES Cargador DINAX AUTO 3.1A Micro USB bolsa Micro USB bolsa$410
Cargador Iphone Tipo C a Iphone 20W Iphone 20W$2.220
Cargador 1AMP Suelto Tipo Iphone USB Iphone USB$370
Cargador Iphone caja USB POWER ADAPTER USB POWER ADAPTER$880
CARGADORES Power Bank Royalcell RPB 101-102 RPB 101-102$6.730
Batería Portátil POWER BANK IDEA BANK IDEA$2.340
CARGADORES POWER BANK TRANYOO 20000 MAH D05 TRANYOO 20000 MAH D05$8.120
POWER BANK TRANYOO 10000 MAH D04 TRANYOO 10000 MAH D04$4.670
POWER BANK TRANYOO 10000 MAH D06 10000 MAH D06$6.850
POWER BANK TRANYOO 20000 MAH D07 MAH D07$8.590
CARGADORES Cargador Universal de Baterías Dinax Con Visor Baterías Dinax Con Visor$370
Cargador Universal De Batería Dinax De Batería Dinax$270
CARGADORES Cable micro USB WUW X166 2.1 A WUW X166 2.1 A$210
Cable Tipo C a Tipo C Legatus Tipo C Legatus$420
CABLES Cable USB Royal RC5007 Tipo C Reforzado Carga rápida PREMIUM rápida PREMIUM$710
Cable USB a Tipo C Royalcell 5.0A 888 Royalcell 5.0A 888$750
Cable IBEK USB A V8 CB601 3.1 A CB601 3.1 A$380
Cable IBEK USB a V8 CB301 CB301$380
Cable AUX extensible de colores suelto de colores suelto$190
CABLES Adaptador Iphone a Jack a Jack$759
Cable LEGATUS USB A 5A 5006 Cable LEGATUS USB A 5A 5006Micro  $360
Tipo C $390
Cable USB a Tipo C SAMSUNG 3.0 SAMSUNG 3.0$440
CABLES Cable USB a Tipo C Dinax 5.1A Carga Rápida Rápida$365
Cable USB a Micro Motorola 3.0 Motorola 3.0$390
